Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Epoch:674 | Test PESQ:1.048 | Test CSIG:1.005 | Test CBAK:1.050 | Test COVL:1.002
Epoch:675 | Test PESQ:1.053 | Test CSIG:1.005 | Test CBAK:1.032 | Test COVL:1.002
Epoch:676 | Test PESQ:1.048 | Test CSIG:1.008 | Test CBAK:1.093 | Test COVL:1.001
Epoch:677 | Test PESQ:1.049 | Test CSIG:1.006 | Test CBAK:1.032 | Test COVL:1.001
Epoch:678 | Test PESQ:1.052 | Test CSIG:1.001 | Test CBAK:1.033 | Test COVL:1.000
Epoch:679 | Test PESQ:1.046 | Test CSIG:1.002 | Test CBAK:1.030 | Test COVL:1.000
Epoch:680 | Test PESQ:1.051 | Test CSIG:1.003 | Test CBAK:1.021 | Test COVL:1.000
Epoch:681 | Test PESQ:1.049 | Test CSIG:1.006 | Test CBAK:1.070 | Test COVL:1.001
Epoch:682 | Test PESQ:1.051 | Test CSIG:1.005 | Test CBAK:1.039 | Test COVL:1.001
Epoch:683 | Test PESQ:1.052 | Test CSIG:1.007 | Test CBAK:1.052 | Test COVL:1.003
Epoch:684 | Test PESQ:1.046 | Test CSIG:1.008 | Test CBAK:1.073 | Test COVL:1.001
Epoch:685 | Test PESQ:1.052 | Test CSIG:1.004 | Test CBAK:1.023 | Test COVL:1.000
Epoch:686 | Test PESQ:1.047 | Test CSIG:1.006 | Test CBAK:1.051 | Test COVL:1.001
Epoch:687 | Test PESQ:1.050 | Test CSIG:1.004 | Test CBAK:1.041 | Test COVL:1.000
Epoch:688 | Test PESQ:1.048 | Test CSIG:1.003 | Test CBAK:1.045 | Test COVL:1.000
Epoch:689 | Test PESQ:1.049 | Test CSIG:1.004 | Test CBAK:1.059 | Test COVL:1.001
Epoch:690 | Test PESQ:1.054 | Test CSIG:1.004 | Test CBAK:1.062 | Test COVL:1.001
Epoch:691 | Test PESQ:1.066 | Test CSIG:1.005 | Test CBAK:1.038 | Test COVL:1.003
Epoch:692 | Test PESQ:1.051 | Test CSIG:1.005 | Test CBAK:1.051 | Test COVL:1.002
Epoch:693 | Test PESQ:1.056 | Test CSIG:1.002 | Test CBAK:1.045 | Test COVL:1.001
Epoch:694 | Test PESQ:1.054 | Test CSIG:1.003 | Test CBAK:1.048 | Test COVL:1.002
Epoch:695 | Test PESQ:1.045 | Test CSIG:1.004 | Test CBAK:1.039 | Test COVL:1.000
Epoch:696 | Test PESQ:1.046 | Test CSIG:1.004 | Test CBAK:1.047 | Test COVL:1.001
Epoch:697 | Test PESQ:1.057 | Test CSIG:1.002 | Test CBAK:1.034 | Test COVL:1.001
Epoch:698 | Test PESQ:1.043 | Test CSIG:1.003 | Test CBAK:1.093 | Test COVL:1.000
Epoch:699 | Test PESQ:1.052 | Test CSIG:1.003 | Test CBAK:1.030 | Test COVL:1.001
Epoch:700 | Test PESQ:1.049 | Test CSIG:1.002 | Test CBAK:1.038 | Test COVL:1.000
Epoch:701 | Test PESQ:1.046 | Test CSIG:1.003 | Test CBAK:1.036 | Test COVL:1.000
Epoch:702 | Test PESQ:1.048 | Test CSIG:1.004 | Test CBAK:1.049 | Test COVL:1.001
Epoch:703 | Test PESQ:1.053 | Test CSIG:1.004 | Test CBAK:1.046 | Test COVL:1.002
Epoch:704 | Test PESQ:1.044 | Test CSIG:1.007 | Test CBAK:1.086 | Test COVL:1.000
Epoch:705 | Test PESQ:1.046 | Test CSIG:1.005 | Test CBAK:1.045 | Test COVL:1.000
Epoch:706 | Test PESQ:1.045 | Test CSIG:1.007 | Test CBAK:1.064 | Test COVL:1.001
Epoch:707 | Test PESQ:1.058 | Test CSIG:1.002 | Test CBAK:1.026 | Test COVL:1.001
Epoch:708 | Test PESQ:1.044 | Test CSIG:1.004 | Test CBAK:1.044 | Test COVL:1.000
Epoch:709 | Test PESQ:1.053 | Test CSIG:1.002 | Test CBAK:1.036 | Test COVL:1.001
Epoch:710 | Test PESQ:1.052 | Test CSIG:1.006 | Test CBAK:1.063 | Test COVL:1.003
Epoch:711 | Test PESQ:1.059 | Test CSIG:1.002 | Test CBAK:1.016 | Test COVL:1.003
Epoch:712 | Test PESQ:1.045 | Test CSIG:1.002 | Test CBAK:1.052 | Test COVL:1.000
Epoch:713 | Test PESQ:1.050 | Test CSIG:1.005 | Test CBAK:1.048 | Test COVL:1.000
Epoch:714 | Test PESQ:1.050 | Test CSIG:1.004 | Test CBAK:1.058 | Test COVL:1.000
Epoch:715 | Test PESQ:1.054 | Test CSIG:1.003 | Test CBAK:1.041 | Test COVL:1.000
Epoch:716 | Test PESQ:1.047 | Test CSIG:1.002 | Test CBAK:1.035 | Test COVL:1.000
Epoch:717 | Test PESQ:1.048 | Test CSIG:1.003 | Test CBAK:1.039 | Test COVL:1.000
Epoch:718 | Test PESQ:1.050 | Test CSIG:1.004 | Test CBAK:1.056 | Test COVL:1.001
Epoch:719 | Test PESQ:1.053 | Test CSIG:1.002 | Test CBAK:1.035 | Test COVL:1.001
Epoch:720 | Test PESQ:1.049 | Test CSIG:1.002 | Test CBAK:1.043 | Test COVL:1.000
Epoch:721 | Test PESQ:1.048 | Test CSIG:1.002 | Test CBAK:1.051 | Test COVL:1.000
Epoch:722 | Test PESQ:1.049 | Test CSIG:1.001 | Test CBAK:1.031 | Test COVL:1.001
Epoch:723 | Test PESQ:1.055 | Test CSIG:1.002 | Test CBAK:1.043 | Test COVL:1.001
Epoch:724 | Test PESQ:1.050 | Test CSIG:1.001 | Test CBAK:1.047 | Test COVL:1.000
Epoch:725 | Test PESQ:1.049 | Test CSIG:1.002 | Test CBAK:1.044 | Test COVL:1.000
Epoch:726 | Test PESQ:1.044 | Test CSIG:1.004 | Test CBAK:1.068 | Test COVL:1.000
Epoch:727 | Test PESQ:1.046 | Test CSIG:1.003 | Test CBAK:1.046 | Test COVL:1.000
Epoch:728 | Test PESQ:1.047 | Test CSIG:1.001 | Test CBAK:1.033 | Test COVL:1.000
Epoch:729 | Test PESQ:1.051 | Test CSIG:1.002 | Test CBAK:1.049 | Test COVL:1.000
Epoch:730 | Test PESQ:1.049 | Test CSIG:1.001 | Test CBAK:1.040 | Test COVL:1.000
Epoch:731 | Test PESQ:1.053 | Test CSIG:1.000 | Test CBAK:1.034 | Test COVL:1.001
Epoch:732 | Test PESQ:1.070 | Test CSIG:1.001 | Test CBAK:1.032 | Test COVL:1.003
Epoch:733 | Test PESQ:1.052 | Test CSIG:1.003 | Test CBAK:1.065 | Test COVL:1.000
Epoch:734 | Test PESQ:1.053 | Test CSIG:1.001 | Test CBAK:1.039 | Test COVL:1.000
Epoch:735 | Test PESQ:1.053 | Test CSIG:1.004 | Test CBAK:1.054 | Test COVL:1.001
Epoch:736 | Test PESQ:1.051 | Test CSIG:1.000 | Test CBAK:1.035 | Test COVL:1.000
Epoch:737 | Test PESQ:1.054 | Test CSIG:1.000 | Test CBAK:1.036 | Test COVL:1.000
Epoch:738 | Test PESQ:1.045 | Test CSIG:1.002 | Test CBAK:1.073 | Test COVL:1.000
Epoch:739 | Test PESQ:1.061 | Test CSIG:1.004 | Test CBAK:1.033 | Test COVL:1.004
Epoch:740 | Test PESQ:1.055 | Test CSIG:1.002 | Test CBAK:1.057 | Test COVL:1.000
Epoch:741 | Test PESQ:1.062 | Test CSIG:1.003 | Test CBAK:1.056 | Test COVL:1.002
Epoch:742 | Test PESQ:1.057 | Test CSIG:1.002 | Test CBAK:1.046 | Test COVL:1.000
Epoch:743 | Test PESQ:1.064 | Test CSIG:1.003 | Test CBAK:1.062 | Test COVL:1.004
Epoch:744 | Test PESQ:1.052 | Test CSIG:1.002 | Test CBAK:1.041 | Test COVL:1.002
Epoch:745 | Test PESQ:1.052 | Test CSIG:1.001 | Test CBAK:1.042 | Test COVL:1.000
Epoch:746 | Test PESQ:1.061 | Test CSIG:1.001 | Test CBAK:1.028 | Test COVL:1.000
Epoch:747 | Test PESQ:1.064 | Test CSIG:1.001 | Test CBAK:1.053 | Test COVL:1.002
Epoch:748 | Test PESQ:1.057 | Test CSIG:1.001 | Test CBAK:1.040 | Test COVL:1.000
Epoch:749 | Test PESQ:1.057 | Test CSIG:1.002 | Test CBAK:1.050 | Test COVL:1.001
Epoch:750 | Test PESQ:1.056 | Test CSIG:1.001 | Test CBAK:1.026 | Test COVL:1.002
Total training time:1692.48Minute
--------Model Best score--------Epoch:732 | Test PESQ:1.070 | Test CSIG:1.001 | Test CBAK:1.032 | Test COVL:1.003
